epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3731.23,1.2802,1.26423,1.77568,0.46255,0.15351,0.1325,0.05259,2.49083,3.46104,2.63777,0.0008045,0.0008045,0.0008045
56,3799.39,1.2869,1.25623,1.79739,0.45997,0.19623,0.15278,0.05356,2.60261,3.19895,2.91002,0.00079625,0.00079625,0.00079625
57,3867.48,1.2838,1.26271,1.76667,0.50026,0.20032,0.18585,0.07457,2.36991,2.93774,2.50433,0.000788,0.000788,0.000788
58,3934.83,1.24704,1.27706,1.77634,0.22591,0.21802,0.16903,0.06631,2.4288,2.93114,2.60338,0.00077975,0.00077975,0.00077975
59,4002.1,1.25025,1.26682,1.75255,0.49623,0.22686,0.17274,0.06058,2.57478,2.87265,2.77938,0.0007715,0.0007715,0.0007715
60,4069.08,1.23895,1.23825,1.74952,0.47976,0.20902,0.16301,0.0537,2.56789,3.09315,2.84912,0.00076325,0.00076325,0.00076325
61,4137.23,1.25534,1.1831,1.77106,0.50265,0.16647,0.15631,0.06183,2.5172,3.09238,2.70947,0.000755,0.000755,0.000755
62,4206.85,1.23394,1.15623,1.73089,0.24751,0.22123,0.18472,0.07637,2.3992,3.05237,2.54282,0.00074675,0.00074675,0.00074675
63,4274.14,1.20562,1.16291,1.72233,0.46444,0.17975,0.15779,0.0571,2.65472,3.12888,3.00171,0.0007385,0.0007385,0.0007385
64,4340.64,1.24249,1.20314,1.75765,0.53564,0.1976,0.18465,0.06752,2.44122,2.87858,2.66493,0.00073025,0.00073025,0.00073025
